 Grade, Strand,Standard #,Synonym,Standard
3,W,2.b,,"CC.3.W.2.b Text Types and Purposes: Develop the topic with facts, definitions, and details."
3,W,2.c,,"CC.3.W.2.c Text Types and Purposes: Use linking words and phrases (e.g., also, another, and, more, but) to connect ideas within categories of information."
3,W,2.d,,CC.3.W.2.d Text Types and Purposes: Provide a concluding statement or section.
3,W,3,,"CC.3.W.3 Text Types and Purposes: Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences."
3,W,3.a,,CC.3.W.3.a Text Types and Purposes: Establish a situation and introduce a narrator and/or characters; organize an event sequence that unfolds naturally.
3,W,3.b,,"CC.3.W.3.b Text Types and Purposes: Use dialogue and descriptions of actions, thoughts, and feelings to develop experiences and events or show the response of characters to situations."
3,W,3.c,,CC.3.W.3.c Text Types and Purposes: Use temporal words and phrases to signal event order.
3,W,3.d,,CC.3.W.3.d Text Types and Purposes: Provide a sense of closure.
3,W,4,,"CC.3.W.4 Production and Distribution of Writing: With guidance and support from adults, produce writing in which the development and organization are appropriate to task and purpose. (Grade-specific expectations for writing types are defined in standards 1–3 above.)"
3,W,5,,"CC.3.W.5 Production and Distribution of Writing: With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, and editing. (Editing for conventions should demonstrate command of Language standards 1–3 up to and including grade 3 on page 29.)"
3,W,6,,"CC.3.W.6 Production and Distribution of Writing: With guidance and support from adults, use technology to produce and publish writing (using keyboarding skills) as well as to interact and collaborate with others."
3,W,7,,CC.3.W.7 Research to Build and Present Knowledge: Conduct short research projects that build knowledge about a topic.
3,W,8,,CC.3.W.8 Research to Build and Present Knowledge: Recall information from experiences or gather information from print and digital sources; take brief notes on sources and sort evidence into provided categories.
3,W,10,,"CC.3.W.10 Range of Writing: Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
4,W,1,,"CC.4.W.1 Text Types and Purposes: Write opinion pieces on topics or texts, supporting a point of view with reasons and information."
4,W,1.a,,"CC.4.W.1.a Text Types and Purposes: Introduce a topic or text clearly, state an opinion, and create an organizational structure in which related ideas are grouped to support the writer’s purpose."
4,W,1.b,,CC.4.W.1.b Text Types and Purposes: Provide reasons that are supported by facts and details.
4,W,1.c,,"CC.4.W.1.c Text Types and Purposes: Link opinion and reasons using words and phrases (e.g., for instance, in order to, in addition)."
4,W,1.d,,CC.4.W.1.d Text Types and Purposes: Provide a concluding statement or section related to the opinion presented.
4,W,2,,CC.4.W.2 Text Types and Purposes: Write informative/explanatory texts to examine a topic and convey ideas and information clearly.
4,W,2.a,,"CC.4.W.2.a Text Types and Purposes: Introduce a topic clearly and group related information in paragraphs and sections; include formatting (e.g., headings), illustrations, and multimedia when useful to aiding comprehension."
4,W,2.b,,"CC.4.W.2.b Text Types and Purposes: Develop the topic with facts, definitions, concrete details, quotations, or other information and examples related to the topic."
4,W,2.c,,"CC.4.W.2.c Text Types and Purposes: Link ideas within categories of information using words and phrases (e.g., another, for example, also, because)."
4,W,2.d,,CC.4.W.2.d Text Types and Purposes: Use precise language and domain-specific vocabulary to inform about or explain the topic.
4,W,2.e,,CC.4.W.2.e Text Types and Purposes: Provide a concluding statement or section related to the information or explanation presented.
4,W,3,,"CC.4.W.3 Text Types and Purposes: Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences."
4,W,3.a,,CC.4.W.3.a Text Types and Purposes: Orient the reader by establishing a situation and introducing a narrator and/or characters; organize an event sequence that unfolds naturally.
4,W,3.b,,CC.4.W.3.b Text Types and Purposes: Use dialogue and description to develop experiences and events or show the responses of characters to situations.
4,W,3.c,,CC.4.W.3.c Text Types and Purposes: Use a variety of transitional words and phrases to manage the sequence of events.
4,W,3.d,,CC.4.W.3.d Text Types and Purposes: Use concrete words and phrases and sensory details to convey experiences and events precisely.
4,W,3.e,,CC.4.W.3.e Text Types and Purposes: Provide a conclusion that follows from the narrated experiences or events.
4,W,4,,"CC.4.W.4 Production and Distribution of Writing: Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1–3 above.)"
4,W,5,,"CC.4.W.5 Production and Distribution of Writing: With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, and editing.(Editing for conventions should demonstrate command of Language standards 1–3up to and including grade 4 on page 29.)"
4,W,6,,"CC.4.W.6 Production and Distribution of Writing: With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of one page in a single sitting."
4,W,7,,CC.4.W.7 Research to Build and Present Knowledge: Conduct short research projects that build knowledge through investigation of different aspects of a topic.
4,W,8,,"CC.4.W.8 Research to Build and Present Knowledge: Recall relevant information from experiences or gather relevant information from print and digital sources; take notes and categorize information, and provide a list of sources."
4,W,9,,"CC.4.W.9 Research to Build and Present Knowledge: Draw evidence from literary or informational texts to support analysis, reflection, and research."
4,W,9.a,,"CC.4.W.9.a Research to Build and Present Knowledge: Apply grade 4 Reading standards to literature (e.g., “Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text [e.g., a character’s thoughts, words, or actions].”)."
4,W,9.b,,"CC.4.W.9.b Research to Build and Present Knowledge: Apply grade 4 Reading standards to informational texts (e.g., “Explain how an author uses reasons and evidence to support particular points in a text”)."
4,W,10,,"CC.4.W.10 Range of Writing: Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
5,W,1,,"CC.5.W.1 Text Types and Purposes: Write opinion pieces on topics or texts, supporting a point of view with reasons and information."
5,W,1.a,,"CC.5.W.1.a Text Types and Purposes: Introduce a topic or text clearly, state an opinion, and create an organizational structure in which ideas are logically grouped to support the writer’s purpose."
5,W,1.b,,CC.5.W.1.b Text Types and Purposes: Provide logically ordered reasons that are supported by facts and details.
5,W,1.c,,"CC.5.W.1.c Text Types and Purposes: Link opinion and reasons using words, phrases, and clauses (e.g., consequently, specifically)."
5,W,1.d,,CC.5.W.1.d Text Types and Purposes: Provide a concluding statement or section related to the opinion presented.
5,W,2,,CC.5.W.2 Text Types and Purposes: Write informative/explanatory texts to examine a topic and convey ideas and information clearly.
5,W,2.a,,"CC.5.W.2.a Text Types and Purposes: Introduce a topic clearly, provide a general observation and focus, and group related information logically; include formatting (e.g., headings), illustrations, and multimedia when useful to aiding comprehension."
5,W,2.b,,"CC.5.W.2.b Text Types and Purposes: Develop the topic with facts, definitions, concrete details, quotations, or other information and examples related to the topic."
5,W,2.c,,"CC.5.W.2.c Text Types and Purposes: Link ideas within and across categories of information using words, phrases, and clauses (e.g., in contrast, especially)."
5,W,2.d,,CC.5.W.2.d Text Types and Purposes: Use precise language and domain-specific vocabulary to inform about or explain the topic.
5,W,2.e,,CC.5.W.2.e Text Types and Purposes: Provide a concluding statement or section related to the information or explanation presented.
5,W,3,,"CC.5.W.3 Text Types and Purposes: Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences."
5,W,3.a,,CC.5.W.3.a Text Types and Purposes: Orient the reader by establishing a situation and introducing a narrator and/or characters; organize an event sequence that unfolds naturally.
5,W,3.b,,"CC.5.W.3.b Text Types and Purposes: Use narrative techniques, such as dialogue, description, and pacing, to develop experiences and events or show the responses of characters to situations."
5,W,3.c,,"CC.5.W.3.c Text Types and Purposes: Use a variety of transitional words, phrases, and clauses to manage the sequence of events."
5,W,3.d,,CC.5.W.3.d Text Types and Purposes: Use concrete words and phrases and sensory details to convey experiences and events precisely.
5,W,3.e,,CC.5.W.3.e Text Types and Purposes: Provide a conclusion that follows from the narrated experiences or events.
5,W,4,,"CC.5.W.4 Production and Distribution of Writing: Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1–3 above.)"
5,W,5,,"CC.5.W.5 Production and Distribution of Writing: With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.(Editing for conventions should demonstrate command of Language standards 1–3up to and including grade 5 on page 29.)"
5,W,6,,"CC.5.W.6 Production and Distribution of Writing: With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of two pages in a single sitting."
5,W,7,,CC.5.W.7 Research to Build and Present Knowledge: Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.
5,W,8,,"CC.5.W.8 Research to Build and Present Knowledge: Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources."
5,W,9,,"CC.5.W.9 Research to Build and Present Knowledge: Draw evidence from literary or informational texts to support analysis, reflection, and research."
5,W,9.a,,"CC.5.W.9.a Research to Build and Present Knowledge: Apply grade 5 Reading standards to literature (e.g., “Compare and contrast two or more characters, settings, or events in a story or a drama, drawing on specific details in the text [e.g., how characters interact]”)."
5,W,9.b,,"CC.5.W.9.b Research to Build and Present Knowledge: Apply grade 5 Reading standards to informational texts (e.g., “Explain how an author uses reasons and evidence to support particular points in a text, identifying which reasons and evidence support which point[s]”). "
5,W,10,,"CC.5.W.10 Range of Writing: Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
K,SL,1,,CC.K.SL.1 Comprehension and Collaboration: Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.
K,SL,1.a,,"CC.K.SL.1.a Comprehension and Collaboration: Follow agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion)."
K,SL,1.b,,CC.K.SL.1.b Comprehension and Collaboration: Continue a conversation through multiple exchanges.
K,SL,2,,CC.K.SL.2 Comprehension and Collaboration: Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.
K,SL,3,,"CC.K.SL.3 Comprehension and Collaboration: Ask and answer questions in order to seek help, get information, or clarify something that is not understood."
K,SL,4,,"CC.K.SL.4 Presentation of Knowledge and Ideas: Describe familiar people, places, things, and events and, with prompting and support, provide additional detail."
K,SL,5,,CC.K.SL.5 Presentation of Knowledge and Ideas: Add drawings or other visual displays to descriptions as desired to provide additional detail.
K,SL,6,,"CC.K.SL.6 Presentation of Knowledge and Ideas: Speak audibly and express thoughts, feelings, and ideas clearly. "
1,SL,1,,CC.1.SL.1 Comprehension and Collaboration: Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.
1,SL,1.a,,"CC.1.SL.1.a Comprehension and Collaboration: Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion)."
1,SL,1.b,,CC.1.SL.1.b Comprehension and Collaboration: Build on others’ talk in conversations by responding to the comments of others through multiple exchanges.
1,SL,1.c,,CC.1.SL.1.c Comprehension and Collaboration: Ask questions to clear up any confusion about the topics and texts under discussion.
1,SL,2,,CC.1.SL.2 Comprehension and Collaboration: Ask and answer questions about key details in a text read aloud or information presented orally or through other media.
1,SL,3,,CC.1.SL.3 Comprehension and Collaboration: Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.
1,SL,4,,"CC.1.SL.4 Presentation of Knowledge and Ideas: Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly. "
1,SL,5,,"CC.1.SL.5 Presentation of Knowledge and Ideas: Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings. "
1,SL,6,,CC.1.SL.6 Presentation of Knowledge and Ideas: Produce complete sentences when appropriate to task and situation. (See grade 1 Language standards 1 and 3 on page 26 for specific expectations.)
2,SL,1,,"CC.2.SL.1 Comprehension and Collaboration: Participate in collaborative conversations with diverse partners about grade 2 topics and texts with peers and adults in small and larger groups.
"
2,SL,1.a,,"CC.2.SL.1.a Comprehension and Collaboration: Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion)."
2,SL,1.b,,CC.2.SL.1.b Comprehension and Collaboration: Build on others’ talk in conversations by linking their comments to the remarks of others.
2,SL,1.c,,CC.2.SL.1.c Comprehension and Collaboration: Ask for clarification and further explanation as needed about the topics and texts under discussion.
2,SL,2,,CC.2.SL.2 Comprehension and Collaboration: Recount or describe key ideas or details from a text read aloud or information presented orally or through other media.
2,SL,3,,"CC.2.SL.3 Comprehension and Collaboration: Ask and answer questions about what a speaker says in order to clarify comprehension, gather additional information, or deepen understanding of a topic or issue."
2,SL,4,,"CC.2.SL.4 Presentation of Knowledge and Ideas: Tell a story or recount an experience with appropriate facts and relevant, descriptive details, speaking audibly in coherent sentences."
2,SL,5,,"CC.2.SL.5 Presentation of Knowledge and Ideas: Create audio recordings of stories or poems; add drawings or other visual displays to stories or recounts of experiences when appropriate to clarify ideas, thoughts, and feelings. "
2,SL,6,,CC.2.SL.6 Presentation of Knowledge and Ideas: Produce complete sentences when appropriate to task and situation in order to provide requested detail or clarification. (See grade 2 Language standards 1and 3 on page 26 for specific expectations.)
3,SL,1,,"CC.3.SL.1 Comprehension and Collaboration: Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 3 topics and texts, building on others’ ideas and expressing their own clearly."
3,SL,1.a,,"CC.3.SL.1.a Comprehension and Collaboration: Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion."
3,SL,1.b,,"CC.3.SL.1.b Comprehension and Collaboration: Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion)."
3,SL,1.c,,"CC.3.SL.1.c Comprehension and Collaboration: Ask questions to check understanding of information presented, stay on topic, and link their comments to the remarks of others."
3,SL,1.d,,CC.3.SL.1.d Comprehension and Collaboration: Explain their own ideas and understanding in light of the discussion.
3,SL,2,,"CC.3.SL.2 Comprehension and Collaboration: Determine the main ideas and supporting details of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
3,SL,3,,"CC.3.SL.3 Comprehension and Collaboration: Ask and answer questions about information from a speaker, offering appropriate elaboration and detail."
3,SL,4,,"CC.3.SL.4 Presentation of Knowledge and Ideas: Report on a topic or text, tell a story, or recount an experience with appropriate facts and relevant, descriptive details, speaking clearly at an understandable pace."
3,SL,5,,CC.3.SL.5 Presentation of Knowledge and Ideas: Create engaging audio recordings of stories or poems that demonstrate fluid reading at an understandable pace; add visual displays when appropriate to emphasize or enhance certain facts or details.
3,SL,6,,CC.3.SL.6 Presentation of Knowledge and Ideas: Speak in complete sentences when appropriate to task and situation in order to provide requested detail or clarification. (See grade 3 Language standards 1 and 3 on page 26 for specific expectations.)
4,SL,1,,"CC.4.SL.1 Comprehension and Collaboration: Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led)with diverse partners on grade 4 topics and texts, building on others’ ideas and expressing their own clearly."
4,SL,1.a,,"CC.4.SL.1.a Comprehension and Collaboration: Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion."
4,SL,1.b,,CC.4.SL.1.b Comprehension and Collaboration: Follow agreed-upon rules for discussions and carry out assigned roles.
4,SL,1.c,,"CC.4.SL.1.c Comprehension and Collaboration: Pose and respond to specific questions to clarify or follow up on information, and make comments that contribute to the discussion and link to the remarks of others."
4,SL,1.d,,CC.4.SL.1.d Comprehension and Collaboration: Review the key ideas expressed and explain their own ideas and understanding in light of the discussion.
4,SL,2,,"CC.4.SL.2 Comprehension and Collaboration: Paraphrase portions of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
4,SL,3,,CC.4.SL.3 Comprehension and Collaboration: Identify the reasons and evidence a speaker provides to support particular points.
4,SL,4,,"CC.4.SL.4 Presentation of Knowledge and Ideas: Report on a topic or text, tell a story, or recount an experience in an organized manner, using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace."
4,SL,5,,CC.4.SL.5 Presentation of Knowledge and Ideas: Add audio recordings and visual displays to presentations when appropriate to enhance the development of main ideas or themes.
4,SL,6,,"CC.4.SL.6 Presentation of Knowledge and Ideas: Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion); use formal English when appropriate to task and situation. (See grade 4 Language standards 1 and 3 on page 28 for specific expectations.)"
5,SL,1,,"CC.5.SL.1 Comprehension and Collaboration: Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 5 topics and texts, building on others’ ideas and expressing their own clearly."
5,SL,1.a,,"CC.5.SL.1.a Comprehension and Collaboration: Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion."
5,SL,1.b,,CC.5.SL.1.b Comprehension and Collaboration: Follow agreed-upon rules for discussions and carry out assigned roles.
5,SL,1.c,,CC.5.SL.1.c Comprehension and Collaboration: Pose and respond to specific questions by making comments that contribute to the discussion and elaborate on the remarks of others.
5,SL,1.d,,CC.5.SL.1.d Comprehension and Collaboration: Review the key ideas expressed and draw conclusions in light of information and knowledge gained from the discussions.
5,SL,2,,"CC.5.SL.2 Comprehension and Collaboration: Summarize written a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
5,SL,3,,CC.5.SL.3 Comprehension and Collaboration: Summarize the points a speaker makes and explain how each claim is supported by reasons and evidence.
5,SL,4,,"CC.5.SL.4 Presentation of Knowledge and Ideas: Report on a topic or text or present an opinion, sequencing ideas logically and using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace."
5,SL,5,,"CC.5.SL.5 Presentation of Knowledge and Ideas: Include multimedia components (e.g., graphics, sound) and visual displays in presentations when appropriate to enhance the development of main ideas or themes."
5,SL,6,,"CC.5.SL.6 Presentation of Knowledge and Ideas: Adapt speech to a variety of contexts and tasks, using formal English when appropriate to task and situation. (See grade 5 Language standards 1 and 3 on page 28 for specific expectations.)"
K,L,1,,CC.K.L.1 Conventions of Standard English: Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
K,L,1.a,,CC.K.L.1.a Conventions of Standard English: Print many upper- and lowercase letters.
K,L,1.b,,CC.K.L.1.b Conventions of Standard English: Use frequently occurring nouns and verbs.
K,L,1.c,,"CC.K.L.1.c Conventions of Standard English: Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes)."
K,L,1.d,,"CC.K.L.1.d Conventions of Standard English: Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how)."
K,L,1.e,,"CC.K.L.1.e Conventions of Standard English: Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with)."
K,L,1.f,,CC.K.L.1.f Conventions of Standard English: Produce and expand complete sentences in shared language activities.
K,L,2,,"CC.K.L.2 Conventions of Standard English: Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
K,L,2.a,,CC.K.L.2.a Conventions of Standard English: Capitalize the first word in a sentence and the pronoun I.
K,L,2.b,,CC.K.L.2.b Conventions of Standard English: Recognize and name end punctuation.
K,L,2.c,,CC.K.L.2.c Conventions of Standard English: Write a letter or letters for most consonant and short-vowel sounds (phonemes).
K,L,2.d,,"CC.K.L.2.d Conventions of Standard English: Spell simple words phonetically, drawing on knowledge of sound-letter relationships."
K,L,4,,"CC.K.L.4 Vocabulary Acquisition and Use: Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.
"
K,L,4.a,,"CC.K.L.4.a Vocabulary Acquisition and Use: Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck)."
K,L,4.b,,"CC.K.L.4.b Vocabulary Acquisition and Use: Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re-, un-, pre-, -ful, -less) as a clue to the meaning of an unknown word."
K,L,5,,"CC.K.L.5 Vocabulary Acquisition and Use: With guidance and support from adults, explore word relationships and nuances in word meanings."
K,L,5.a,,"CC.K.L.5.a Vocabulary Acquisition and Use: Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent."
K,L,5.b,,CC.K.L.5.b Vocabulary Acquisition and Use: Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms).
K,L,5.c,,"CC.K.L.5.c Vocabulary Acquisition and Use: Identify real-life connections between words and their use (e.g., note places at school that are colorful)."
K,L,5.d,,"CC.K.L.5.d Vocabulary Acquisition and Use: Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings."
K,L,6,,"CC.K.L.6 Vocabulary Acquisition and Use: Use words and phrases acquired through conversations, reading and being read to, and responding to texts."
1,L,1,,CC.1.L.1 Conventions of Standard English: Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
1,L,1.a,,CC.1.L.1.a Conventions of Standard English: Print all upper- and lowercase letters.
1,L,1.b,,"CC.1.L.1.b Conventions of Standard English: Use common, proper, and possessive nouns."
1,L,1.c,,"CC.1.L.1.c Conventions of Standard English: Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop)."
1,L,1.d,,"CC.1.L.1.d Conventions of Standard English: Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their, anyone, everything)."
1,L,1.e,,"CC.1.L.1.e Conventions of Standard English: Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home)."
1,L,1.f,,CC.1.L.1.f Conventions of Standard English: Use frequently occurring adjectives.
1,L,1.g,,"CC.1.L.1.g Conventions of Standard English: Use frequently occurring conjunctions (e.g., and, but, or, so, because)."
1,L,1.h,,"CC.1.L.1.h Conventions of Standard English: Use determiners (e.g., articles, demonstratives)."
1,L,1.i,,"CC.1.L.1.i Conventions of Standard English: Use frequently occurring prepositions (e.g., during, beyond, toward)."
1,L,1.j,,"CC.1.L.1.j Conventions of Standard English: Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts."
1,L,2,,"CC.1.L.2 Conventions of Standard English: Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
1,L,2.a,,CC.1.L.2.a Conventions of Standard English: Capitalize dates and names of people.
1,L,2.b,,CC.1.L.2.b Conventions of Standard English: Use end punctuation for sentences.
1,L,2.c,,CC.1.L.2.c Conventions of Standard English: Use commas in dates and to separate single words in a series.
1,L,2.d,,CC.1.L.2.d Conventions of Standard English: Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.
1,L,2.e,,"CC.1.L.2.e Conventions of Standard English: Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions."
1,L,4,,"CC.1.L.4 Vocabulary Acquisition and Use: Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies."
1,L,4.a,,CC.1.L.4.a Vocabulary Acquisition and Use: Use sentence-level context as a clue to the meaning of a word or phrase.
1,L,4.b,,CC.1.L.4.b Vocabulary Acquisition and Use: Use frequently occurring affixes as a clue to the meaning of a word.
1,L,4.c,,"CC.1.L.4.c Vocabulary Acquisition and Use: Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking)."
1,L,5,,"CC.1.L.5 Vocabulary Acquisition and Use: With guidance and support from adults, demonstrate understanding of word relationships and nuances in word meanings."
1,L,5.a,,"CC.1.L.5.a Vocabulary Acquisition and Use: Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent."
1,L,5.b,,"CC.1.L.5.b Vocabulary Acquisition and Use: Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes)."
1,L,5.c,,"CC.1.L.5.c Vocabulary Acquisition and Use: Identify real-life connections between words and their use (e.g., note places at home that are cozy)."
1,L,5.d,,"CC.1.L.5.d Vocabulary Acquisition and Use: Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings."
1,L,6,,"CC.1.L.6 Vocabulary Acquisition and Use: Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., I named my hamster Nibblet because she nibbles too much because she likes that)."
2,L,1,,CC.2.L.1 Conventions of Standard English: Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
2,L,1.a,,"CC.2.L.1.a Conventions of Standard English: Use collective nouns (e.g., group)."
2,L,1.b,,"CC.2.L.1.b Conventions of Standard English: Form and use frequently occurring irregular plural nouns (e.g., feet, children, teeth, mice, fish)."
2,L,1.c,,"CC.2.L.1.c Conventions of Standard English: Use reflexive pronouns (e.g., myself, ourselves)."
2,L,1.d,,"CC.2.L.1.d Conventions of Standard English: Form and use the past tense of frequently occurring irregular verbs (e.g., sat, hid, told)."
2,L,1.e,,"CC.2.L.1.e Conventions of Standard English: Use adjectives and adverbs, and choose between them depending on what is to be modified."
2,L,1.f,,"CC.2.L.1.f Conventions of Standard English: Produce, expand, and rearrange complete simple and compound sentences (e.g., The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy)."
2,L,2,,"CC.2.L.2 Conventions of Standard English: Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
2,L,2.a,,"CC.2.L.2.a Conventions of Standard English: Capitalize holidays, product names, and geographic names."
2,L,2.b,,CC.2.L.2.b Conventions of Standard English: Use commas in greetings and closings of letters.
2,L,2.c,,CC.2.L.2.c Conventions of Standard English: Use an apostrophe to form contractions and frequently occurring possessives.
2,L,2.d,,"CC.2.L.2.d Conventions of Standard English: Generalize learned spelling patterns when writing words (e.g., cage → badge; boy → boil)."
2,L,2.e,,"CC.2.L.2.e Conventions of Standard English: Consult reference materials, including beginning dictionaries, as needed to check and correct spellings"
2,L,3,,"CC.2.L.3 Knowledge of Language: Use knowledge of language and its conventions when writing, speaking, reading, or listening."
2,L,3.a,,CC.2.L.3.a Knowledge of Language: Compare formal and informal uses of English.
2,L,4,,"CC.2.L.4 Vocabulary Acquisition and Use: Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies."
2,L,4.a,,CC.2.L.4.a Vocabulary Acquisition and Use: Use sentence-level context as a clue to the meaning of a word or phrase.
2,L,4.b,,"CC.2.L.4.b Vocabulary Acquisition and Use: Determine the meaning of the new word formed when a known prefix is added to a known word (e.g., happy/unhappy, tell/retell)."
2,L,4.c,,"CC.2.L.4.c Vocabulary Acquisition and Use: Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., addition, additional)."
2,L,4.d,,"CC.2.L.4.d Vocabulary Acquisition and Use: Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g., birdhouse, lighthouse, housefly; bookshelf, notebook, bookmark)."
2,L,4.e,,"CC.2.L.4.e Vocabulary Acquisition and Use: Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases."
2,L,5,,CC.2.L.5 Vocabulary Acquisition and Use: Demonstrate understanding of word relationships and nuances in word meanings.
2,L,5.a,,"CC.2.L.5.a Vocabulary Acquisition and Use: Identify real-life connections between words and their use (e.g., describe foods that are spicy or juicy)."
2,L,5.b,,"CC.2.L.5.b Vocabulary Acquisition and Use: Distinguish shades of meaning among closely related verbs (e.g., toss, throw, hurl) and closely related adjectives (e.g., thin, slender, skinny, scrawny)."
2,L,6,,"CC.2.L.6 Vocabulary Acquisition and Use: Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using adjectives and adverbs to describe (e.g., When other kids are happy that makes me happy)."
3,L,1,,CC.3.L.1 Conventions of Standard English: Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
3,L,1.a,,"CC.3.L.1.a Conventions of Standard English: Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences."
3,L,1.b,,CC.3.L.1.b Conventions of Standard English: Form and use regular and irregular plural nouns.
